periodo;data_inicio;data_fim;total_artigos;artigos_instabilidade;artigos_estabilidade;porcentagem_instabilidade;títulos_amostra;resumo_analise
2023-03-129;26/03/2023;09/04/2023;589;406;183;68.93;"Ação na Paulista pede apoio para aprovação de leis pelo meio ambiente; Com milhares sem abrigo, Rio Branco deve sofrer com mais chuvas fortes; Homem armado invade festa e mata duas pessoas em São Carlos (SP)";"Detectada instabilidade política em 406 de 589 artigos (68.9%). Principais indicadores: [""Palavra-chave 'emergência' encontrada (categoria: crises)"", ""Palavra-chave 'emergência' encontrada (categoria: crises)"", ""Palavra-chave 'militar' encontrada (categoria: golpes)""]"
2023-04-130;10/04/2023;24/04/2023;636;471;165;74.06;"MEC disponibiliza lista de espera do Prouni; MST e movimentos sociais ocupam sede do Incra em Alagoas; PIB da cultura e indústrias criativas supera o do setor automotivo";"Detectada instabilidade política em 471 de 636 artigos (74.1%). Principais indicadores: [""Palavra-chave 'disputa' encontrada (categoria: conflitos)"", ""Palavra-chave 'militar' encontrada (categoria: golpes)"", ""Palavra-chave 'movimento' encontrada (categoria: protestos)""]"
2023-04-131;25/04/2023;09/05/2023;697;482;215;69.15;"Copa do Brasil: Fluminense avança após nova vitória sobre Paysandu; Major diz que golpistas exigiram água durante vandalização do Planalto; Ex-PM acusado de homicídio triplamente qualificado é condenado no Rio";"Detectada instabilidade política em 482 de 697 artigos (69.2%). Principais indicadores: [""Palavra-chave 'disputa' encontrada (categoria: conflitos)"", ""Palavra-chave 'parlamentar' encontrada (categoria: governabilidade)"", ""Palavra-chave 'militar' encontrada (categoria: golpes)""]"
2023-05-132;10/05/2023;24/05/2023;680;472;208;69.41;"Petrópolis antecipa repasse a empresas de ônibus após incêndio; Senado aprova equiparação de milícias e facções a terroristas; STF tem três votos para tornar réus mais 250 por atos golpistas";"Detectada instabilidade política em 472 de 680 artigos (69.4%). Principais indicadores: [""Palavra-chave 'crise' encontrada (categoria: crises)"", ""Palavra-chave 'militar' encontrada (categoria: golpes)"", ""Palavra-chave 'golpe' encontrada (categoria: golpes)""]"
2023-05-133;25/05/2023;08/06/2023;644;467;177;72.52;"Internacional vence e assume liderança do Grupo B da Copa Libertadores; Lula relata nova conversa com Xi Jinping sobre Ucrânia; Desenvolver o futebol feminino é prioridade do governo, diz ministra";"Detectada instabilidade política em 467 de 644 artigos (72.5%). Principais indicadores: [""Palavra-chave 'disputa' encontrada (categoria: conflitos)"", ""Palavra-chave 'conflito' encontrada (categoria: conflitos)"", ""Palavra-chave 'incidente' encontrada (categoria: golpes)""]"
2023-06-134;09/06/2023;23/06/2023;661;449;212;67.93;"Morre Wladimir Pomar, que coordenou 1ª campanha presidencial de Lula; Marcha Trans ocupa ruas centrais de São Paulo e pede mais visibilidade; Chance de El Niño forte é de 56%, diz agência dos Estados Unidos";"Detectada instabilidade política em 449 de 661 artigos (67.9%). Principais indicadores: [""Palavra-chave 'militar' encontrada (categoria: golpes)"", ""Palavra-chave 'tensão' encontrada (categoria: conflitos)"", ""Palavra-chave 'mudança' encontrada (categoria: mudanças)""]"
2023-06-135;24/06/2023;08/07/2023;668;486;182;72.75;"Em jogo de superação, Fluminense derrota Bahia no Maracanã; Chefe mercenário irá para Belarus, sob acordo para pôr fim a motim; Skate: Rayssa Leal se garante na decisão da etapa do Circuito Mundial";"Detectada instabilidade política em 486 de 668 artigos (72.8%). Principais indicadores: [""Palavra-chave 'confronto' encontrada (categoria: conflitos)"", ""Palavra-chave 'militar' encontrada (categoria: golpes)"", ""Palavra-chave 'disputa' encontrada (categoria: conflitos)""]"
2023-07-136;09/07/2023;23/07/2023;588;416;172;70.75;"Festival Latinidades termina em Brasília valorizando mulheres pretas; Congresso concentra atividades da semana em comissões; Série D: Vitória bate Real Ariquemes em clássico capixaba e segue vivo";"Detectada instabilidade política em 416 de 588 artigos (70.7%). Principais indicadores: [""Palavra-chave 'disputa' encontrada (categoria: conflitos)"", ""Palavra-chave 'parlamentar' encontrada (categoria: governabilidade)"", ""Palavra-chave 'ataque' encontrada (categoria: violencia)""]"
2023-07-137;24/07/2023;07/08/2023;703;478;225;67.99;"Justiça determina transferência de ex-bombeiro para presídio federal; Só metade das escolas públicas têm projetos antirracistas, aponta ONG; Justiça arquiva ação de Maria do Rosário contra Jair Bolsonaro";"Detectada instabilidade política em 478 de 703 artigos (68.0%). Principais indicadores: [""Palavra-chave 'militar' encontrada (categoria: golpes)"", ""Palavra-chave 'movimento' encontrada (categoria: protestos)"", ""Palavra-chave 'embate' encontrada (categoria: conflitos)""]"
2023-08-138;08/08/2023;22/08/2023;714;530;184;74.23;"Libertadores: Flu supera Argentinos Juniors em jogo tenso e avança; Alíquota-padrão do IVA ficará entre 25,45% e 27%, calcula Fazenda; RJ: Defensoria pede retirada de post que criminaliza adolescente morto";"Detectada instabilidade política em 530 de 714 artigos (74.2%). Principais indicadores: [""Palavra-chave 'disputa' encontrada (categoria: conflitos)"", ""Palavra-chave 'parlamentar' encontrada (categoria: governabilidade)"", ""Palavra-chave 'choque' encontrada (categoria: conflitos)""]"
2023-08-139;23/08/2023;06/09/2023;750;508;242;67.73;"Palmeiras goleia fora de casa e fica perto da semi da Libertadores; Onda de saques na Argentina aponta para disputa presidencial tensa; Santer é campeão do Brasileiro de rugby em cadeira de rodas";"Detectada instabilidade política em 508 de 750 artigos (67.7%). Principais indicadores: [""Palavra-chave 'disputa' encontrada (categoria: conflitos)"", ""Palavra-chave 'crise' encontrada (categoria: crises)"", ""Palavra-chave 'disputa' encontrada (categoria: conflitos)""]"
